property_type,neighborhood,address,room_num,floor,area,garden_area,days_to_enter,num_of_payments,monthly_arnona,building_tax,total_floors,description,has_parking,has_storage,elevator,ac,handicap,has_bars,has_safe_room,has_balcony,is_furnished,is_renovated,price,num_of_images,distance_from_center
דירה,הצפון הישן החלק המרכזי,"מהר""ל 25",3,2,71,,0,12,467,614,4,"בנין ברמה יוצאת דופן. בידוד רעש מעולה. עם חניה בחניון פנימי סגור. מזגני מיצובישי שקטים. ממ""ד - חדר מלא. מרפסת 12 מ""ר. כולל 2 ארונות בחדרים, תנור וכיריים. חדר אופניים בבנין",1,1,1,1,0,0,1,1,0,0,10150,6,1005
דירה,הצפון הישן החלק המרכזי,ארלוזורוב 35,3,1,70,,0,12,240,190,4,"הדירה פונה לרחוב לוי יצחק.
2 מזגנים.
מתאימה לשותפים.
2 דקות מרח' דיזנגוף 
ללא תיווך!!!!!!!",0,0,0,1,0,1,0,1,0,0,6600,3,253
דירה,הצפון הישן החלק המרכזי,וורמיזה 5,2.5,1,65,,,12,400,150,4,"‏בלב לבא של תל אביב  
‏ בסמטה שקטה של רחוב אמסטרדם 
דירה מושקעת שעוברת שיפוץ מדהים
‏דלתות פנדורה , הכל חדש
דירה 65 מ״ר , שלושה חדרים 
‏קומה ראשונה 
‏יש מעלית 
‏ מקלט מסודר  
‏חניה משותפת .

ארנונה 800 ש״ח לחודשיים

‏ועד בית  150  ש״ח
‏חוזה לטווח ארוך  
‏אפשר לסגור  מי 1.1.25 
‏מחיר מבוקש  9000 ש״ח",1,0,1,1,1,0,0,1,0,1,9000,8,740
דירה,הצפון הישן החלק המרכזי,עמנואל הרומי 30,2,3,40,,0,12,100,100,3,"דירה יפה ומוארת, חזיתית למערב
חדר שינה מרווח עם ארון 2 מזגנים חדשים",0,0,0,0,0,0,0,0,0,0,5800,2,1206
דירה,הצפון הישן החלק המרכזי,ארלוזורוב 50,3,1,70,,0,11,250,50,4,"דירה יפהפיה משופצת, עורפית, קומה א, במרכז תל אביב. 
עם סורגים. 2 חדרים + סלון+ פינת אוכל מרווחת.
מקלחת עם אמבטיה
חדרים  מרווחים.
מזגן מיני מרכזי.
דוד שמש כרומגן.
דירה משופצת ברמה גבוהה מעל הסטנדרט.
דלתות חדשות, ריצוף חדש.",0,0,0,1,0,1,0,0,0,1,7700,5,255
דירה,הצפון הישן החלק המרכזי,נחום סוקולוב 4,4,3,120,,,12,600,350,4,"ברחוב הכי מבוקש בתל אביב
בן ארלוזורוב לזיבוטינסקי 
קרוב להכול דקה מדיזנגוף.
דירה גדולה 4 חדרים כי 120 מ""ר
שתי שירותים, אמבטיה ודוש, 
מרפסות שירות.
סלון מרווח,
קומה 3, יש מעלית ומקלט.
מתאימה לשותפים.",0,0,1,0,1,1,0,0,1,0,9000,10,1098
דירה,הצפון הישן החלק המרכזי,אהרון דוד גורדון 6,4,2,100,,0,12,600,250,4,"רחוב: בגורדון 
בקרבת דיזנגוף מיקום פנטסטי.
קומה: 3 
מתפנה לה דירת 4 חדרים 100 מ""ר משופצת בקומה ג עם מעלית.
סלון גדול מאוד פונה לחזית דרומית.
מטבח פתוח עם מקום לפינת אוכל ! מרפסת שמש שווה.
דוד שמש בניין נעים.
הדירה לא מיועדת לשותפים,מציאה למשפחה.",0,0,0,1,0,1,0,0,0,1,11000,1,1200
דירה,הצפון הישן החלק המרכזי,ארבע ארצות 3,3,2,75,,0,12,500,250,5,"מרכז תל אביב

דירת 3 חדרים נהדרת משופצת יפה ! הדירה בקומה ג מוצפת אור 

חדרי שינה גדולים.

סלון גדול פתוח למטבח , דוד שמש , נגישות לגג ענקי.

בעלים נהדר.

כניסה 20/8

דירה מציאה לזוגות או שותפים לא לפספס !",0,0,0,1,0,0,0,0,0,1,8300,7,821
דירה,הצפון הישן החלק המרכזי,דיזנגוף,3,6,87,,,12,,,7,"דירת 3 חדרים חדשה גדולה ומרווחת בבניין חדש במיקום מצויין ומרכזי בקרבה לכיכר דיזנגוף ולמרכז העיר.
גודל הדירה 75 מ""ר בנוי + 10 מ""ר מרפסת שמש עם נוף פתוח.
בדירה יש ממ""ד.
לדירה חניה פרטית.
דירה מעוצבת ומושקעת.
מפרט בנייה גבוה ואיכותי",1,0,1,1,1,1,1,1,1,1,9500,13,0
דירה,הצפון הישן החלק המרכזי,אמסטרדם,3,3,100,,,12,475,525,7,"באמסטרדם השקט בבנין מסודר עם 2 מעליות, דירה גדולה עם 2 חדרי שינה, סלון גדול, שירותים ואמבטיה בנפרד, מטבח בנפרד, מים חמים 24/7, כניסה ב-1/8/2024",0,0,1,1,1,0,0,1,0,0,9750,10,628
דירה,הצפון הישן החלק המרכזי,יהושע בן נון 4,3,1,70,,0,12,650,80,4,"רחוב: בבזל פינת יהושע בן נון
הצפון הישן 
דירת 3 חדרים בקומת קרקע משופצת נייס
כ-70 מ׳ר
גם לשני שותפים
כניסה 1-7",0,0,0,1,0,0,0,0,0,1,6950,2,593
דירה,הצפון הישן החלק המרכזי,ארלוזורוב 6,4,3,95,,0,12,500,200,4,"רחוב: ארלוזורוב

מרכז תל אביב

דירה של 4 חדרים,כ - 95 מטר,משופצת מקסימה ואיכותית.

סלון עם מטבח פתוח.

חדרי שינה עם מזגנים.

עברה שיפוץ לפני 4 שנים.

פונה לחזית.

מקלחת ושורתים ביחיד.

בניין מסודר ואיכותית. קרובה לויצמן.

כניסה: 1.10.2024",0,0,0,1,0,0,0,0,0,1,9500,4,1049
דירה,הצפון הישן החלק המרכזי,וורמיזה 15,4,2,130,18,0,12,600,3000,20,"A speciall beautiful apartment in the luxurious Assuta towers!!!
3 br. 130 sqm built + 20 sqm balconies!
Designed architectually.
Appliances and closets!
2 separate parkings!!!",1,1,1,1,1,0,1,1,1,1,19000,6,825
דירה,הצפון הישן החלק המרכזי,ויזל 3,2,2,70,,0,12,650,150,4,"ברחוב וייזל המבוקש

בקרבת שדרות בן גוריון המיקום הכי חם בעיר.

‏מתפנה לה דירת שני 70 מ״ר גדולה עם מרפסת ענקית הפונה למערב עם נוף פתוח !

חדרי שינה גדולים כמו של פעם !

מטבח ניפרד עם מרפסת שרות !

הול גדול שיכול לשמש כפינת עבודה ! הדירה מאוד מוארת ומאווררת !

הסכם שכירות קל !

שכ״ד 7000 ש״ח וגמיש מעט לרציניים !

תאריך כניסה 12/4

מציאה אמיתית לא לפספס !",0,0,0,1,0,0,0,1,0,0,7000,13,762
דירה,הצפון הישן החלק המרכזי,סוקולוב 3,3,0,85,,0,12,750,360,5,"רחוב: בסוקלוב ז׳בוטינסקי
מיקום מעולה שניה מדיזינגוף וכמה דקות הליכה לחוף הילטון
דירת 3 חדרים 85 מ״ר משופצת ברמה גבוהה מאוד ! חדרי שינה גדולים ושווים ! עם שרותיים ומקלחת לכל חדר !
סלון ענקי פתוח למטבח מפנק !
הדירה מלאה באור ואויר בניין מאוד איכותיי הדירה מעולה לזוג משפחה או שני שותפים
תאריך כניסה 1/3",0,0,0,1,0,1,1,0,0,1,8000,3,1101
דירה,הצפון הישן החלק המרכזי,דיזנגוף 168,3,4,70,,0,12,,195,4,"ליד רחוב ארלוזורב.
מרכז תל אביב
דולפלקס של 3 חדרים,כ - 75 מטר, משופצת ומסודרת,קומה 1 סלון עם מטבח פתוח.
חדר שינה עם מזגן חדר ממ""ד
ומלקחת ושרותים.
קומה 2 - חדר שינה עם מזגן,עם ארון קיר,יציאה למרפסת שמש של 11 מטר
ובנוסף יציאה נוספת למרפסת כפולה של 11 מטר.
פונה לרחוב באר טוביה השקטה.
בניין עם מעלית
מתאימה לזוג \ שותפים.
כניסה מידית.",0,0,1,1,0,0,1,1,0,1,7700,8,121
דירה,הצפון הישן החלק המרכזי,שדרות בן גוריון 3,2,2,70,,0,12,500,250,4,"קרוב לים

דירה של  2  חדרים,כ - 70  מטר סלון עם פינת אוכל.

מטבח פתוח לסלון,פלוס פינת אוכל.

חדר שינה גודל ומרוווח.

הליכה לים

בניין מטופח ומסודר.

מיקום מעולה.

כניסה: 1.3.2024",0,0,0,1,0,0,0,1,0,1,6500,7,1271
דירה,הצפון הישן החלק המרכזי,ארלוזורוב 33,2,0,52,,0,12,450,250,4,"ליד הקאנטרי
דירת 2 חדרים 52 מטר,ליד בלוך וליד הקאנטרי ויש חניון עירוני.
קומת קרקע גבוהה( עולים 6 מדרגות )
3 כיווני אוויר מלאת אור ושקטה
צריך צ׳קים + ערבים+ חודש פיקדון נזיל
כניסה:1-3-24",0,0,0,1,0,1,0,0,0,1,5500,6,247
דירה,הצפון הישן החלק המרכזי,לסל 7,3,2,70,,0,12,500,250,4,"רחוב: א.ד גורדון

הצפון הישן 

דירה של 3 חדרים,כ - 70  מטר, קומה ב',מצויינת לזוג עם תינוק אפשר גם שותפים

משופצת

ללא מעלית.

אין מקלט אין ממ""ד

מרפסת יפה לחזית

בא עם ריהוט ( יש אפשרות להוציא )

2 שרותים ומקלחת אחת

מוארת

ריצוף שיש בכל הדירה

ארנונה 635 לחודשיים

מפתחות אצלי כניסה 1/1/24",0,0,0,1,0,0,1,0,0,1,8750,5,1308
דירה,הצפון הישן החלק המרכזי,ז'בוטינסקי 6,3,2,70,,0,12,900,250,4,"רחוב: ז'בוטינסקי

מרכז תל אביב

דירה של 3 חדרים,כ - 70 מטר חדשה מקסימה איוכתית ויפה,יציאה למרפסת שמש

5 מטר.

סלון עם מטבח פתוח,פלוס פינת אוכל.

מוארת

שרותים ומקלחת ביחיד.

ועד: 200 ש""ח לחודש,ועיריה: 900 ש""ח לחודש.

1.1.2023",1,0,1,1,0,0,1,1,0,1,10000,7,639
דירה,הצפון הישן החלק המרכזי,רחל 8,3,3,87,,0,12,1000,260,5,"דירה של  3 חדרים כ - 87  מטר,סלון עם פינת אוכל, מוארת.
חדרי שינה עם מזגנים.
3 כוון אויר.
קומה: ג'
מהסלון יציאה למרפסת סגורה,מיקום שקט,של הרחוב.
חניה משותפת.,ומעלית.
כניסה מידית.",1,0,1,1,0,0,0,1,0,1,10000,6,285
דירה,הצפון הישן החלק המרכזי,רחל 4,3,3,89,,,12,700,300,5,"דירה של  3 חדרים כ - 87  מטר,סלון עם פינת אוכל, מוארת.
חדרי שינה עם מזגנים.
3 כוון אויר.
קומה: ג'
מהסלון יציאה למרפסת סגורה,מיקום שקט,של הרחוב.
חניה משותפת.,ומעלית.
כניסה מידית.",0,0,1,1,0,1,0,1,0,1,9900,8,245
דירה,הצפון הישן החלק המרכזי,ארלוזורוב 4,4,2,90,,0,12,500,250,4,"רחוב: ארלוזורוב - דיזנגוף
4 חדרים עורפית ומשופצת 
קומה 4 עם מעלית
כ 90 מ״ר
אופציה לחניה פרטית
משופצת מוארת עורפית ושקטה, חדר 1 גדול מאוד, 2 חדרים מרווחים כשווים, חדר מאסטר
2 שירותים, 2 אמבטיות
דוד שמש
בדירה 2 ארונות ומקרר
מתאים ל3 שותפים / משפחה
‏אפשר בע״ח
כניסה מידית",0,0,0,1,0,0,0,0,0,1,10500,10,1029
דירה,הצפון הישן החלק המרכזי,בן יהודה 111,2,2,60,,0,12,300,200,4,"דירה של  2  חדרים,כ - 60 מטר פונה לעורף.
מסודרת מוארת
מטבח עם פינת עבודה.
חדרי שינה עם מזגן.
מוארת
בניין מטופח ומסודר
""אפשרות למרוהטת"".
כניסה מידית.",0,0,0,1,0,1,0,0,0,1,7500,6,452
דירה,הצפון הישן החלק המרכזי,קלונימוס 4,3,3,80,,0,12,800,200,4,"הקלאסי
דירת 3 חדרים 80 מ""ר משופצת ויפה !
סלון מרווח פתוח למטבח עם מקום לפינת אוכל !
הדירה פונה למערב מוארת ומאוררת מאוד !
פרקט בחדרי השינה !
בניין מסודר ונעים !
מושלמת לזוגות או שני שותפים !
דירה נדירה ברחוב מושלם.
קומה: ג' - ללא מעלית. 
כניסה מידית",0,0,0,1,0,0,0,0,0,1,8100,5,1186
דירה,הצפון הישן החלק המרכזי,קלונימוס 7,3,2,80,,0,12,850,150,4,"בצפון הישן

הקלאסי

דירת 3 חדרים 80 מ""ר משופצת ויפה !

סלון מרווח פתוח למטבח עם מקום לפינת אוכל !

הדירה פונה למערב מוארת ומאוררת מאוד !

פרקט בחדרי השינה !

בניין מסודר ונעים !

מושלמת לזוגות או שני שותפים !

דירה נדירה ברחוב מושלם.

גמישות קלה.

כניסה מידית",0,0,0,1,0,0,0,0,0,1,8500,5,1234
דירה,הצפון הישן החלק המרכזי,גרץ 6,3,2,78,,0,12,750,200,5,"דירה של  3  חדרים,כ - 78  מטר, משופצת מסודרת מקסימה ואיוכתית.

סופר מוארת

קומה 2 עם מעלית

בניין מסודר

ללא בעח

מושלמת ליחיד/זוג/ משפחה קטנה

כניסה מידית.",0,0,0,1,0,0,0,0,0,1,8500,3,227
דירה,הצפון הישן החלק המרכזי,יהושע בן נון 3,2,2,70,,0,12,300,200,4,"דירה של  2  חדרים,כ - 70 מטר, משופצת איוכתית ויפה
סלון עם מטבח פתוח.
מוארת מקסימה איוכתית ויפה.
בניין עם קודן,ואינרקום.
בניין עם מעלית.
חניון קרוב של עירית תל אביב
כניסה מידית.",0,0,0,1,0,0,0,0,0,1,8600,4,609
דירה,הצפון הישן החלק המרכזי,זלטופולסקי  7,3,0,70,,0,12,500,100,3,"צפון הישן 

השקט נגיעה מחוף הילטון במיקום חלומי !

חוזה לשנה אחת ! ( התראה של 90 יום עקב תמ""א 38/2 הריסה ובנייה )

דירת 3 חדרים

70 מטר

בקומת קרקע

שני חדרי שינה גדולים

שני חדרי רחצה ושירותים, סלון מטבח

מתאים מאוד ל2 שותפים/ות

כניסה מיידית !",0,0,0,1,0,1,0,0,0,0,7200,6,1113
דירה,הצפון הישן החלק המרכזי,ארלוזורוב 55,2,0,52,,,12,250,200,4,"רחוב: ארלוזרוב 
דירת 2 חדרים 52 מטר,ליד בלוך וליד הקאנטרי
ויש חניון עירוני,קומת קרקע גבוהה( עולים 6 מדרגות )
3 כיווני אוויר
מלאת אור ושקטה
כניסה מיידית
רהיטים למכירה אם רוצים 
צ׳קים + ערבים+ חודשיים פיקדון נזיל.
כניסה:1.02.2023",0,0,0,1,0,1,0,0,0,1,6300,5,538
דירה,הצפון הישן החלק המרכזי,אבן גבירול 111,3,3,78,,0,12,500,200,4,"מרכז תל אביב

דירה של 3 חדרים,כ - 78 מטר,משופצת מקסימה ואיוכתית.

סלון עם פינת אוכל.

שלושה כוון אויר.

מזגנים בכל חדר.

מוארת.

בניין מטופח ומסודר.

מתאימה לשותפים \ זוג פלוס ילד.

כניסה מידית.",0,0,0,1,0,0,0,0,0,1,6800,9,983
דירה,הצפון הישן החלק המרכזי,בן גוריון  9,2,3,58,,0,12,500,200,4,"רחוב: בן גוריון 

מרכז תל אביב

דירה של  2  חדרים,כ - 58  מטר,עם יציאה למרפסת שמש של  12 מטר רואים ים.

יש מקרר .מזגנים חדשים

2 שירותים

גם מקלחת וגם אמבטיה

מכונת כביסה מיטה

כניסה: 1.12.2022",0,0,0,1,0,0,0,1,0,0,8000,4,5574
דירת גן,הצפון הישן החלק המרכזי,לסל 9,2,0,50,,0,12,400,100,4,"דירת גן קסומה מודרנית , 2 חד + חצר ( לא פרטית) ,

אפשר בע׳ח כ-50 מר ויש מרפסת

אין חניה

כניסה מיידית",0,0,0,1,0,1,0,1,0,1,7000,9,1367
דירה,הצפון הישן החלק המרכזי,בן גוריון  77,3,2,80,,0,12,500,250,4,"רחוב: בסימטאות בן גוריון 
הצפון הישן 
מיקום פצצה‏ ברחוב סופר שקט !
מתפנה לה דירת 3 חדרים משופצת ברמה גבוהה !
‏סלון גדול פתוח למטבח עם מקום לפינת אוכל !
ויטרינה גדולה לאורך הדירה שמכניסה המון אור ואויר !
חדרי שינה גדולים ומרווחים !
דוד שמש !
תאריך כניסה 15.12 אפשרי גם קודם 15.11
קומה: 4\2",0,0,0,1,0,1,0,0,0,1,8250,5,708
דירה,הצפון הישן החלק המרכזי,ויזל 6,3,2,80,,0,12,600,200,4,"רחוב: בסימטאות בן גוריון 

הצפון הישן 

מיקום פצצה‏ ברחוב סופר שקט !

מתפנה לה דירת 3 חדרים משופצת ברמה גבוהה !

‏סלון גדול פתוח למטבח עם מקום לפינת אוכל !

ויטרינה גדולה לאורך הדירה שמכניסה המון אור ואויר !

חדרי שינה גדולים ומרווחים !

דוד שמש !

שכ״ד 8500

תאריך כניסה 15.12 אפשרי גם קודם 15.11",0,0,0,1,0,0,0,1,0,1,8500,8,726
דירה,הצפון הישן החלק המרכזי,סוקולוב 9,3,3,90,,0,12,1200,250,4,"דירה של  3  חדרים ,כ - 90  מטר. מסודרת מוארת מקסימה ואיוכתית..

יציאה לגג ענק משותף 

מעוצבת ומרוהטת , הריהוט לא מחייב .

וטרינת שמש בסלון גדולה .

2 חדרי שירותים .

פונה למרחב פתוח מוקפת צמחיה ירוקה .

כיווני אוויר - מערב- צפון - מזרח .

מוארת ושקטה .

קומה שלישית שווה לעלות 

חניה פרטית לדירה .

תאריך כניסה גמיש 10.2022",1,0,1,1,0,0,0,1,0,1,12000,9,1058
דירה,הצפון הישן החלק המרכזי,עמנואל הרומי 7,3,3,68,,,12,500,250,5,"רחוב: עמנואל הרומי

הצפון הישן 

דירת 3 חדרים במצב מעולה,פרקט בכל הדירה,סלון מרווח ומואר.

בקרבת רחוב ג׳בוטינסקי

מטבח גדול שפתוח לסלון

קומה 3 ללא מעלית

הדירה מתאימה לזוג או משפחה

(לא לשותפים)

כניסה ב 1.10",0,0,0,1,0,0,0,0,0,1,7250,9,1054
דירה,הצפון הישן החלק המרכזי,רחל 8,3.5,1,87,,,12,500,300,5,"הצפון הישן

דירה  של  3.5  חדרים,כ - 87  מטר, פונה לעורף,עברה שיפוץ לפני מספר שנים.

סלון עם פינת אוכל.

מטבח בנפרד.

חדרי שינה עם פרקטים.

שרותים ואבטיה מרכזים,עם יציאה למרפסת שרות

ובנוסף יח' הורים עם ארון קיר.

הדירה מסורגת,במיקום מרכזי, הליכה לבית ספר גרץ,ולים.

הדירה ללא חניה,בניין איוכתית עם שתי מעליות.

כניסה: 5.9.2022",0,0,1,1,0,1,0,0,0,1,11500,4,285
